,reviewed_at,helpful,content,review_heading,rating,images,review_id,country,year,season,RT,zone,found_helpful
0,2020-09-30,629,"I own the previous non-4k model, and this is a much better experience. First off, It's faster than previous fire sticks. No more menu lag. Things are smoother and faster overall. The user interface is snappier and more responsive all around, unlike the older Fire Stick, which does occasionally lag. It's crisp and clear, and intuitive to operate - and set-up is a piece of cake.If you are wondering whether an elderly or technophobic person can handle the setup process, the answer is yes. The onscreen prompts guide you through everything, and should be easy for anyone to follow, even if don't consider yourself tech savvy. And in terms of the physical hardware, there are only like 2 steps: 1) Connect the Stick to a power source 2) Plug the Stick into any open HDMI port, which you'll find on the back or side of your TV.Also, If you're wondering if the Fire TV Stick (with TV controls) suits you more. I would say it’s a question of personal preference. The Fire TV Stick Lite version does not support Dolby Atmos audio and the included Alexa Voice Remote Lite does not have power or volume buttons. Personally, the Lite version is fine for me as I have another remote which controls my TV’s volume and power button and I do not have a soundbar. However, I would recommend anyone with different devices connected to their TV such as soundbars to buy the Fire TV Stick (with TV controls) version as this would allow you to control everything all at once, however it is slightly higher in price compared to this one.Finally If you're wondering whether the Lite version is a gimmick or whether it's worth it, the answer is: it's worth it, because it's as if they ironed out all the little kinks and pain points to get the user to their chosen content as quickly as possible. All the little improvements in terms of the speed/function, and the upgraded Alexa remote with the new “guide” button which takes you straight to your videos makes the Lite version a pleasure to use.Amazon needs to keep up the good work. This Lite stick is a solid product and an excellent upgrade (for those on a budget) from the previous model. Hope this helps!",New Fire TV Lite is a fantastic budget streaming device! Upgrade!,5,https://images-na.ssl-images-amazon.com/images/I/61-umXOjaqL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/61IQ-CcAiPL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/61jr4SBub8L._SY88.jpg,RTDVIT5SUMJP8,UK,2020,autumn,Positive,Europe,True
1,2020-10-03,186,"All functionality is quick and responsive as you would expect so can't be faulted in that respect.However, if, like me, you might side load some additional Apps onto your Firestick, which are not linked to your Amazon Account, you might see that the image / icon for the App does not appear in your Apps list and instead you get a ""greyed out"" box. The App will install and work fine once you open it, but the obvious visual for it is missing on your home screen and My Apps lists and if you have a few of them, you will have to guess which app you are opening. Example pictured.This Fire TV Lite OS is Version 7.2.2.3, presumably bang up to date, and this does not happen (in my experience) with previous OS on the 4k Stick for example which is version 6.2.7.3.I have tried uninstalling and reinstalling and Factory resets but it is still the same. Might this be a ""glitch"" with the latest OS, Version 7, that needs fixing?","Like any other Firestick, but with one irritating feature....so far",3,https://images-na.ssl-images-amazon.com/images/I/51Ls-54STzL._SY88.jpg,RW3QA8WMV68UM,UK,2020,autumn,Neutral,Europe,True
2,2020-10-15,156,"We already have the more expensive fire stick in our main tv which we love.Our second tv doesnt support Brit Box so we decided on another fire stick but opted for this version as its quite a bit cheaper.The only difference is three buttons on the remote.  The ability to turn the tv off and adjust the volume.  Weve never used these buttons anyway as we just use the ones on the tv remote so it was a no brainer to go for the cheaper option.Fire sticks are so easy to set up and use.Plug the little unit into one of your tvs usb ports, plug into the mains.  Switch tv on, select fire stick and follow the onscreen instructions.It supports all the catch up channels plus Netflix ,Brit Box, Disney, the list goes on.Really good interface and will either update your tv to a smart one or update your already smart tv should it not support certain apps.I would certainly recommend this version for price, ease of use and a great viewing experience.",Just as good as more expensive version,5,https://images-na.ssl-images-amazon.com/images/I/71KG4lRwFCL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/71SLtcipiIL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/71ge05a93sL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/81MIROfFuRL._SY88.jpg,RGYB2ILPLMBQ7,UK,2020,autumn,Positive,Europe,True
3,2020-10-11,138,"I have every generation of stick except the 4k and they are all still going strong, even the G1. I use them for everything, prime video, Netflix, britbox and all the mainstream apps like iplayer but I also sideload non amazon apps like KODI.  I had absolutely no problem uploading the apps (see pic) and they all loaded with their icons. They work swiftly and I am hugely impressed with the speed of this stick.I loaded in this order. Sign in with Amazon, go to settings and enable apps from unknown sources and ADB debugging in the developer options. Then  loaded the mainstream apps from the amazon store and then side loaded my other apps. All done without problem in less than 30 mins.If, like the other reviewer you struggle with grey icons then Google it. It is not a new problem and there are countless sites with help on how to sort it out.As for the stick itself I really recommend it. I have no need for 4k (due to 720p eyes), i never use the TV buttons on my other controls and I have no need for dolby atmos.  My only gripe would be some price creep  I paid less for my last full featured stick than this lite version. Either way, this is the best streaming device around - buy it without fear if disappointment.","All apps perfect, inc. BBC & Side loaded ones!",5,https://images-na.ssl-images-amazon.com/images/I/81cfklEPcEL._SY88.jpg,R1UNR02XJQECC8,UK,2020,autumn,Positive,Europe,True
4,2020-09-30,72,I would like to take this opportunity to amend my initial review as I was a little harsh on amazon not having the i player which has now been sorted and I have it downloaded now this audition to my amazon family of gadgets is now all singing and dancing many thanks to the lovely lady who took the time to ring me and get things sorted out,Fire sorted,5,,RMDSC4C34RDNQ,UK,2020,autumn,Positive,Europe,True
5,2018-10-06,266,"Be sure you want this product before you order it.  This is because you can only return it if ""unopened, unused & unwashed... and still in its original condition"" -- plus they will ""charge a 15% - 25% re-stocking fee.""  You can't even feel the comforter without breaking the sealed packaging.  The package I received felt very heavy, but once I took the comforter out of it's sealed packing, it felt much more lightweight, which is what I wanted.  The instructions say “wash before using,"" but the comforter had no odor to it and seemed fine to use without washing.  However, when laying under the comforter it felt heavier than some reviewers had indicated, and it certainly felt heavier than a light blanket.  The quality of the comforter seemed to be good, and I expect in the end I'll be happy with it.",Poor return policy,3,,R110AVCR3RZU7F,USA,2018,autumn,Neutral,North-America,True
6,2020-10-06,67,"Superb product, easy to set up and use with a huge amount of free channels and apps.Home media is also fast and 100% reliable with the Plex app, downloaded straight from Amazon and no need to fiddle about with developer options etc.Tip: Although the included remote control utilises RF (radio frequency) instead of the usual IR (infra-red), your television / universal remote will work with Fire TV if your telly has the CEC (Consumer Electronics Control) function (this may be renamed on your box, so it is worth googling).","BBC iPlayer, Sport and News confirmed working (October 2020 at the time of writing)",5,,R2VZC56EC9Q3OA,UK,2020,autumn,Positive,Europe,True
7,2018-12-29,197,"Here we go...I spent hours reading product reviews for comforters that were washable, warm and within my budget (under $50). I purchased 2 of these comforters and they arrived yesterday. First off, the Navy and Gray colors aren'tt as dark as the picture shows, no big deal to me as I wasn't concerned about the color as much as I was about it being washable and warm!We washed the Navy one first in a front loading washer - these are big comforters, not too puffy or thick but thick enough that it was a squeeze into the washer. That being said, just run an extra rinse cycle so all the detergent comes out and hang dry over a shower curtain rod or staircase bannister to let it completely dry.Now here's why this product only received 3 STARS: As soon as I took it out and inspected it, so many seams were loose and coming undone! No stuffing had come out, but after one wash seams are already coming loose. We wash our blankets often, and the whole point of finding a washable comforter was so that we didn't need to buy duvet covers. However, after already washing both blankets, it's safe to say that we will be using duvet covers to protect them for more long term use.Now for the positive: This blanket is so warm! Not too fluffy, which is what we wanted, but warm and cozy! I slept so well with it last night inside my new duvet, although I'm annoyed that the blanket seems to already show lesser quality than expected, inside a duvet it should last MUCH longer than if we used and washed it regularly.Overall, not a horrible purchase. In my opinion, will not sustain regular washes, but with a duvet it will last! That being said, buy the cheapest color I'd you are going to end up putting it into a duvet!","Not what I expected, but not the worst...",3,,R2YIDSQLIBMKG4,USA,2018,winter,Neutral,North-America,True
8,2020-10-18,31,"Had one and all I got was a bit that says HDMI 1 and that’s it. No trying to load, no amazon. Amazon replaced and second one still the same.Customer services is useless. Been trying to get them to help me sort it. They said they’d phone but kept saying they couldn’t.On chat for 2 hours and still no further and gone through 8 different customer service people as they keep changing them through the chat!So 3 different firestic lites later and they kept saying to replace it. I was speaking to the manager in the end as change in customer service assistants were winding me up. Wasn’t until we were trying to find a solution that I read the small bit on the box that said uk may have issues with it. Never heard that before. Anyway seems certain tv makes aren’t compatible. And my tv isn’t old or a cheap make either. Come to a decision to just refund and I’ll just stick to a normal firestick I already have.",Useless,1,,ROP8GGXF7O2GV,UK,2020,autumn,Negative,Europe,True
9,2018-07-30,144,It is very soft and seems to be better quality than I expected for that price. We can’t keep the cat off of it,Good quality,5,https://images-na.ssl-images-amazon.com/images/I/81AzFQ7u+NL._SY88.jpg,RQNQXSW4TLJIM,USA,2018,summer,Positive,North-America,True
